year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
2011,17 Miracles,1,PG,English,USA,"T.C. Christensen, Laurie Vukich (additional writer)",5.8,T.C. Christensen,"Jasen Wade, Emily Wadley, Jason Celaya, Natalie Blackman","Adventure, History",movie,558,113,0,USA,English,Adventure,T.C. Christensen,T.C. Christensen
2011,Juan of the Dead,0,Not Rated,Spanish,"Spain, Cuba",Alejandro Brugués,6.5,Alejandro Brugués,"Alexis Díaz de Villegas, Jorge Molina, Andros Perugorría, Andrea Duro","Action, Comedy, Horror",movie,NA,92,1,Spain,Spanish,Action,Alejandro Brugués,Alejandro Brugués
2011,Hell,1,R,"German, French","Germany, Switzerland","Tim Fehlbaum (screenplay), Oliver Kahl (screenplay), Thomas Wöbke (screenplay)",5.9,Tim Fehlbaum,"Hannah Herzsprung, Lars Eidinger, Stipe Erceg, Lisa Vicari","Horror, Sci-Fi, Thriller",movie,NA,89,1,Germany,German,Horror,Tim Fehlbaum,Tim Fehlbaum (screenplay)
2011,Cloudburst,1,NA,English,"Canada, USA",Thom Fitzgerald (screenplay),7.2,Thom Fitzgerald,"Olympia Dukakis, Brenda Fricker, Kristin Booth, Michael McPhee","Adventure, Comedy, Drama",movie,551,93,1,Canada,English,Adventure,Thom Fitzgerald,Thom Fitzgerald (screenplay)
2011,The Princess and the Pony,1,PG,English,USA,"Rachel Goldenberg, Bill Parker",3.3,Rachel Goldenberg,"Fiona Perry, Bill Oberst Jr., Bobbi Jo Lathan, Ron Hajak",Family,movie,163,88,0,USA,English,Family,Rachel Goldenberg,Rachel Goldenberg
2011,Teen Spirit,1,TV-PG,English,USA,"David Kendall (teleplay), Kathryn McCullough (story), Bob Young (teleplay)",5.7,Gil Junger,"Cassandra Scerbo, Lindsey Shaw, Chris Zylka, Tim Gunn","Comedy, Drama, Fantasy",movie,NA,82,0,USA,English,Comedy,Gil Junger,David Kendall (teleplay)
2011,La Leyenda de la Llorona,1,NA,Spanish,Mexico,"Ricardo Arnaiz (story), Omar Mustre (screenplay), Alberto Rodriguez (screenplay), Ricardo Arnaiz (screenplay), Jesus Guzman (screenplay)",6,Alberto Rodriguez,"Andrés Couturier, Monica del Carmen, Rafael Inclán, Rocio Lara","Animation, Family",movie,170,75,0,Mexico,Spanish,Animation,Alberto Rodriguez,Ricardo Arnaiz (story)
2011,"Peace, Love, &amp; Misunderstanding",1,R,English,USA,"Christina Mengert, Joseph Muszynski",5.8,Bruce Beresford,"Catherine Keener, Joseph Dunn, Ann Osmond, Teri Gibson","Comedy, Drama",movie,NA,96,1,USA,English,Comedy,Bruce Beresford,Christina Mengert
2011,&Aacute; annan veg,0,NA,Icelandic,Iceland,"Sveinn Ólafur Gunnarsson (story), Hafsteinn Gunnar Sigurðsson (screenplay), Hafsteinn Gunnar Sigurðsson (story)",6.7,Hafsteinn Gunnar Sigurðsson,"Hilmar Guðjónsson, Sveinn Ólafur Gunnarsson, Þorsteinn Bachmann, Valgerður Rúnarsdóttir","Comedy, Drama",movie,299,84,1,Iceland,Icelandic,Comedy,Hafsteinn Gunnar Sigurðsson,Sveinn Ólafur Gunnarsson (story)
2011,The Forgiveness of Blood,1,Not Rated,Albanian,"USA, Albania, Denmark, Italy","Joshua Marston, Andamion Murataj",6.8,Joshua Marston,"Tristan Halilaj, Refet Abazi, Zana Hasaj, Erjon Mani",Drama,movie,NA,109,1,USA,Albanian,Drama,Joshua Marston,Joshua Marston
2011,You’re Next,1,R,English,USA,Simon Barrett,6.5,Adam Wingard,"Sharni Vinson, Nicholas Tucci, Wendy Glenn, AJ Bowen","Comedy, Horror, Thriller",movie,NA,95,1,USA,English,Comedy,Adam Wingard,Simon Barrett
2011,The Double,0,PG-13,English,USA,"Michael Brandt, Derek Haas",5.9,Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen, Tamer Hassan","Action, Crime, Drama",movie,NA,98,0,USA,English,Action,Michael Brandt,Michael Brandt
2011,New Year’s Eve,1,PG-13,English,USA,Katherine Fugate,5.6,Garry Marshall,"Michelle Pfeiffer, Zac Efron, Charlotte Marshall-Fricker, Fiona Choi","Comedy, Romance",movie,NA,118,0,USA,English,Comedy,Garry Marshall,Katherine Fugate
2011,Le Skylab,1,NA,"French, English",France,Julie Delpy (screenplay),6.4,Julie Delpy,"Bernadette Lafont, Emmanuelle Riva, Eric Elmosnino, Julie Delpy",Comedy,movie,NA,114,1,France,French,Comedy,Julie Delpy,Julie Delpy (screenplay)
2011,The Caller,1,R,English,"UK, Puerto Rico",Sergio Casci,6.1,Matthew Parkhill,"Rachelle Lefevre, Stephen Moyer, Lorna Raver, Ed Quinn","Horror, Mystery, Thriller",movie,NA,92,0,UK,English,Horror,Matthew Parkhill,Sergio Casci
2011,The Decoy Bride,1,PG,"English, Scottish Gaelic",UK,"Neil Jaworski, Sally Phillips (story), Sally Phillips",6.1,Sheree Folkson,"Kelly Macdonald, David Tennant, Alice Eve, Hamish Clark","Comedy, Drama, Romance",movie,NA,89,0,UK,English,Comedy,Sheree Folkson,Neil Jaworski
2011,Singham,0,NA,"Hindi, Marathi, Gujarati, Tulu, English",India,"Farhad, Hari (original story), Yunus Sajawal (screenplay), Sajid (dialogue)",6.7,Rohit Shetty,"Ajay Devgn, Kajal Agarwal, Prakash Raj, Sonali Kulkarni","Action, Crime, Drama",movie,NA,143,1,India,Hindi,Action,Rohit Shetty,Farhad
2011,Ruggine,1,NA,Italian,Italy,"Stefano Massaron (novel), Daniele Gaglianone (screenplay), Giaime Alonge (screenplay), Alessandro Scippa (screenplay)",6.1,Daniele Gaglianone,"Filippo Timi, Stefano Accorsi, Valerio Mastandrea, Valeria Solarino",Drama,movie,289,109,0,Italy,Italian,Drama,Daniele Gaglianone,Stefano Massaron (novel)
2011,Weekend,0,Not Rated,English,UK,Andrew Haigh,7.7,Andrew Haigh,"Tom Cullen, Chris New, Jonathan Race, Laura Freeman","Drama, Romance",movie,NA,97,1,UK,English,Drama,Andrew Haigh,Andrew Haigh
2011,The Loneliest Planet,0,Not Rated,"English, Georgian, Spanish","USA, Germany","Tom Bissell (short story 'Expensive Trips Nowhere"" from the collection ""God Lives In St. Petersburg'), Mikhail Lermontov (excerpt from 'A Hero Of Our Time'), Julia Loktev",5.5,Julia Loktev,"Hani Furstenberg, Gael García Bernal, Bidzina Gujabidze, Tali Pitakhelauri",Thriller,movie,NA,113,1,USA,English,Thriller,Julia Loktev,"Tom Bissell (short story 'Expensive Trips Nowhere"" from the collection ""God Lives In St. Petersburg')"
2011,The Craiglist Killer,1,TV-14,English,USA,"Donald Martin, Stephen Tolkin",5.3,Stephen Kay,"Jake McDorman, Agnes Bruckner, Joshua Close, Julia Campbell","Crime, Drama, Thriller",movie,NA,87,0,USA,English,Crime,Stephen Kay,Donald Martin
2011,The Good Doctor,1,PG-13,English,USA,John Enbom,5.6,Lance Daly,"Orlando Bloom, Riley Keough, Taraji P. Henson, Rob Morrow","Drama, Thriller",movie,NA,93,0,USA,English,Drama,Lance Daly,John Enbom
2011,Apartment 143,1,R,English,Spain,Rodrigo Cortés,5.1,Carles Torrens,"Francesc Garrido, Fiona Glascott, Rick Gonzalez, Kai Lennox","Horror, Thriller",movie,NA,80,0,Spain,English,Horror,Carles Torrens,Rodrigo Cortés
2011,Last Call at the Oasis,1,PG-13,English,USA,Jessica Yu,7.1,Jessica Yu,"Erin Brockovich-Ellis, Jay Famiglietti, Peter H. Gleick, Robert Glennon",Documentary,movie,245,105,1,USA,English,Documentary,Jessica Yu,Jessica Yu
2011,What’s Your Number,1,R,English,USA,"Gabrielle Allan (screenplay), Jennifer Crittenden (screenplay), Karyn Bosnak (novel)",6,Mark Mylod,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner","Comedy, Romance",movie,NA,106,0,USA,English,Comedy,Mark Mylod,Gabrielle Allan (screenplay)
2011,Last Call at the Oasis,1,PG-13,English,USA,Jessica Yu,7.1,Jessica Yu,"Erin Brockovich-Ellis, Jay Famiglietti, Peter H. Gleick, Robert Glennon",Documentary,movie,245,105,1,USA,English,Documentary,Jessica Yu,Jessica Yu
2011,Arthur Christmas,0,PG,English,"UK, USA","Peter Baynham (screenplay), Sarah Smith (screenplay)",7.1,"Sarah Smith, Barry Cook","James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent","Animation, Comedy, Drama",movie,NA,97,1,UK,English,Animation,Sarah Smith,Peter Baynham (screenplay)
2011,Mars Needs Moms,1,PG,English,USA,"Simon Wells (screenplay), Wendy Wells (screenplay), Berkeley Breathed (book)",5.4,Simon Wells,"Seth Green, Dan Fogler, Joan Cusack, Elisabeth Harnois","Animation, Action, Adventure",movie,NA,88,0,USA,English,Animation,Simon Wells,Simon Wells (screenplay)
2011,Sleeping Beauty,1,Not Rated,English,Australia,Julia Leigh (screenplay),5.3,Julia Leigh,"Bridgette Barrett, Rachael Blake, Hannah Bella Bowden, Emily Browning","Drama, Romance",movie,NA,101,1,Australia,English,Drama,Julia Leigh,Julia Leigh (screenplay)
2011,A Lonely Place to Die,1,R,"English, Serbian",UK,"Julian Gilbey, Will Gilbey",6.3,Julian Gilbey,"Alec Newman, Ed Speleers, Melissa George, Kate Magowan","Action, Adventure, Crime",movie,NA,99,1,UK,English,Action,Julian Gilbey,Julian Gilbey
2011,Little Birds,1,R,English,USA,Elgin James,6.2,Elgin James,"Juno Temple, Kay Panabaker, Kate Bosworth, Neal McDonough",Drama,movie,NA,94,1,USA,English,Drama,Elgin James,Elgin James
2011,Union Squre,1,Not Rated,English,USA,"Nancy Savoca (screenplay), Mary Tobler (screenplay)",4.9,Nancy Savoca,"Mira Sorvino, Patti LuPone, Tammy Blanchard, Mike Doyle",Drama,movie,342,80,0,USA,English,Drama,Nancy Savoca,Nancy Savoca (screenplay)
2011,The Sitter,1,R,English,USA,"Brian Gatewood, Alessandro Tanaka",5.7,David Gordon Green,"Jonah Hill, Max Records, Ari Graynor, J.B. Smoove",Comedy,movie,NA,81,0,USA,English,Comedy,David Gordon Green,Brian Gatewood
2011,Aliens vs. Avatars,1,NA,English,USA,"Ted Chalmers (story), David S. Sterling (idea), Keith Parker (screenplay), Kenny White (screenplay)",1.5,Lewis Schoenbrun,"Jason Lockhart, Kim Argetsinger, Cassie Fliegel, Dylan Vox","Horror, Sci-Fi, Thriller",movie,NA,80,0,USA,English,Horror,Lewis Schoenbrun,Ted Chalmers (story)
2011,My Piece of the Pie,1,Not Rated,"French, English",France,Cédric Klapisch (scenario),5.8,Cédric Klapisch,"Karin Viard, Gilles Lellouche, Audrey Lamy, Jean-Pierre Martins","Comedy, Drama",movie,NA,109,0,France,French,Comedy,Cédric Klapisch,Cédric Klapisch (scenario)
2011,From Prada to Nada,1,PG-13,"English, Spanish","Mexico, USA","Fina Torres (screenplay), Luis Alfaro (screenplay), Craig Fernandez (screenplay), Jane Austen (novel)",5.4,Angel Gracia,"Camilla Belle, Alexa PenaVega, Tina French, Luis Rosales","Comedy, Drama, Romance",movie,NA,107,1,Mexico,English,Comedy,Angel Gracia,Fina Torres (screenplay)
2011,Violet &amp; Daisy,1,R,English,USA,Geoffrey Fletcher,6.2,Geoffrey Fletcher,"Saoirse Ronan, Alexis Bledel, Marianne Jean-Baptiste, Danny Trejo","Action, Comedy, Crime",movie,NA,88,0,USA,English,Action,Geoffrey Fletcher,Geoffrey Fletcher
2011,Amber Lake,1,NA,English,USA,"Joe Robert Cole (story), Joe Robert Cole, Polly Cole (story), Mekenna Melvin (story), Natalie Smyka (story)",5.9,Joe Robert Cole,"Eric Anthony, Carmen Argenziano, Curt Butrum, Jesse Cohen","Drama, Thriller",movie,275,81,0,USA,English,Drama,Joe Robert Cole,Joe Robert Cole (story)
2011,Alyce Kills,1,NA,English,USA,Jay Lee,5.5,Jay Lee,"Jade Dornfeld, Tamara Feldman, James Duval, Eddie Rouse","Horror, Thriller",movie,NA,90,0,USA,English,Horror,Jay Lee,Jay Lee
2011,The Little Engine That Could,1,G,English,USA,"David Koepp (screenplay), John Kamps (screenplay), Cliff Ruby (screenplay), Elana Lesser (screenplay), David Koepp (screen story), John Kamps (screen story), Watty Piper (book)",5.7,Elliot M. Bour,"Jodi Benson, Corbin Bleu, Jamie Lee Curtis, Whoopi Goldberg","Animation, Family",movie,165,NA,0,USA,English,Animation,Elliot M. Bour,David Koepp (screenplay)
2011,Courageous,1,PG-13,English,USA,"Alex Kendrick, Stephen Kendrick",6.9,Alex Kendrick,"Alex Kendrick, Ben Davies, Ken Bevel, T.C. Stallings",Drama,movie,NA,129,1,USA,English,Drama,Alex Kendrick,Alex Kendrick
2011,All Superheroes Must Die,0,Unrated,English,USA,Jason Trost,3.9,Jason Trost,"Jason Trost, Lucas Till, James Remar, Sophie Merkley","Sci-Fi, Thriller",movie,NA,78,0,USA,English,Sci-Fi,Jason Trost,Jason Trost
2011,A Simple Life,1,Not Rated,"Cantonese, English, Mandarin",Hong Kong,"Susan Chan, Yan-lam Lee",7.7,Ann Hui,"Andy Lau, Deannie Yip, Hailu Qin, Fuli Wang",Drama,movie,NA,118,1,Hong Kong,Cantonese,Drama,Ann Hui,Susan Chan
2012,Rise of the Animals,1,NA,English,USA,Chris Wojcik,3.4,Chris Wojcik,"Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston","Adventure, Comedy, Horror",movie,424,70,0,USA,English,Adventure,Chris Wojcik,Chris Wojcik
2012,Superman vs. The Elite,0,PG-13,"English, French, Spanish",USA,"Jerry Siegel (creator), Joe Shuster (creator), Joe Kelly (story), Doug Mahnke (story), Lee Bermejo (story), Joe Kelly",7.1,Michael Chang,"George Newbern, Pauley Perrette, Robin Atkin Downes, Dee Bradley Baker","Animation, Sci-Fi",movie,NA,76,0,USA,English,Animation,Michael Chang,Jerry Siegel (creator)
2012,The Devil Inside,1,R,English,USA,"William Brent Bell, Matthew Peterman",4.1,William Brent Bell,"Fernanda Andrade, Simon Quarterman, Evan Helmuth, Ionut Grama",Horror,movie,NA,83,1,USA,English,Horror,William Brent Bell,William Brent Bell
2012,Underworld: Awakening,1,R,"English, Russian",USA,"Len Wiseman (screenplay), John Hlavin (screenplay), J. Michael Straczynski (screenplay), Allison Burnett (screenplay), Len Wiseman (story), John Hlavin (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)",6.4,"Måns Mårlind, Björn Stein","Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James","Action, Fantasy, Horror",movie,NA,88,1,USA,English,Action,Måns Mårlind,Len Wiseman (screenplay)
2012,Red Tails,0,PG-13,"English, Italian, German",USA,"John Ridley (story), John Ridley (screenplay), Aaron McGruder (screenplay), John B. Holway (book)",5.9,Anthony Hemingway,"Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo","Action, Adventure, Drama",movie,NA,125,1,USA,English,Action,Anthony Hemingway,John Ridley (story)
2012,The Grey,0,R,English,USA,"Joe Carnahan (screenplay), Ian Mackenzie Jeffers (screenplay), Ian Mackenzie Jeffers (short story ""Ghost Walker"")",6.8,Joe Carnahan,"Liam Neeson, Frank Grillo, Dermot Mulroney, Dallas Roberts","Action, Adventure, Drama",movie,NA,117,1,USA,English,Action,Joe Carnahan,Joe Carnahan (screenplay)
2012,Chronicle,0,PG-13,English,USA,"Max Landis (screenplay), Max Landis (story), Josh Trank (story)",7.1,Josh Trank,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly","Drama, Sci-Fi, Thriller",movie,NA,84,1,USA,English,Drama,Josh Trank,Max Landis (screenplay)
2012,This Means War,0,PG-13,"English, German, Japanese, Serbian",USA,"Timothy Dowling (screenplay), Simon Kinberg (screenplay), Timothy Dowling (story), Marcus Gautesen (story)",6.4,McG,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger","Action, Comedy, Romance",movie,NA,103,0,USA,English,Action,McG,Timothy Dowling (screenplay)
2012,Big Miracle,1,PG,English,"USA, UK","Jack Amiel (screenplay), Michael Begler (screenplay), Thomas Rose (book)",6.5,Ken Kwapis,"John Pingayak, Ahmaogak Sweeney, John Chase, Ishmael Angalook Hope","Drama, Romance",movie,NA,107,0,USA,English,Drama,Ken Kwapis,Jack Amiel (screenplay)
2012,Gone,1,PG-13,English,USA,Allison Burnett,5.9,Heitor Dhalia,"Amanda Seyfried, Daniel Sunjata, Jennifer Carpenter, Sebastian Stan","Drama, Mystery, Thriller",movie,NA,94,0,USA,English,Drama,Heitor Dhalia,Allison Burnett
2012,The Woman in Black,0,PG-13,English,"UK, Canada, Sweden","Susan Hill (novel), Jane Goldman (screenplay)",6.5,James Watkins,"Daniel Radcliffe, Ciarán Hinds, Janet McTeer, Liz White","Drama, Horror, Thriller",movie,NA,95,1,UK,English,Drama,James Watkins,Susan Hill (novel)
2012,The Vow,1,PG-13,English,"USA, France, Australia, UK, Germany","Jason Katims, Abby Kohn (screenplay), Stuart Sender (story), Marc Silverstein (screenplay)",6.8,Michael Sucsy,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill","Drama, Romance",movie,NA,104,1,USA,English,Drama,Michael Sucsy,Jason Katims
2012,John Carter,1,PG-13,English,USA,"Andrew Stanton (screenplay), Mark Andrews (screenplay), Michael Chabon (screenplay), Edgar Rice Burroughs (story)",6.6,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe","Action, Adventure, Fantasy",movie,NA,132,1,USA,English,Action,Andrew Stanton,Andrew Stanton (screenplay)
2012,People Like Us,1,PG-13,English,USA,"Alex Kurtzman, Roberto Orci, Jody Lambert",7.1,Alex Kurtzman,"Chris Pine, Elizabeth Banks, Michael Hall D'Addario, Michelle Pfeiffer",Drama,movie,NA,114,0,USA,English,Drama,Alex Kurtzman,Alex Kurtzman
2012,The Hunger Games,1,PG-13,English,USA,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)",7.3,Gary Ross,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields","Adventure, Sci-Fi, Thriller",movie,NA,142,1,USA,English,Adventure,Gary Ross,Gary Ross (screenplay)
2012,Wrath of the Titans,0,PG-13,English,"USA, Spain","Dan Mazeau (screenplay), David Johnson (screenplay), Greg Berlanti (story), David Johnson (story), Dan Mazeau (story), Beverley Cross",5.8,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Ralph Fiennes, Édgar Ramírez","Action, Adventure, Fantasy",movie,NA,99,1,USA,English,Action,Jonathan Liebesman,Dan Mazeau (screenplay)
2012,Mirror Mirror,1,PG,English,"USA, Canada","Marc Klein (screenplay), Jason Keller (screenplay), Melisa Wallack (screen story)",5.6,Tarsem Singh,"Julia Roberts, Lily Collins, Armie Hammer, Nathan Lane","Adventure, Comedy, Drama",movie,NA,106,1,USA,English,Adventure,Tarsem Singh,Marc Klein (screenplay)
2012,Iron Sky,1,R,"English, German","Finland, Germany, Australia","Johanna Sinisalo (original story), Jarmo Puskala (original concept), Michael Kalesniko (screenplay), Timo Vuorensola",6,Timo Vuorensola,"Julia Dietze, Christopher Kirby, Götz Otto, Udo Kier","Action, Comedy, Sci-Fi",movie,NA,93,1,Finland,English,Action,Timo Vuorensola,Johanna Sinisalo (original story)
2012,The Pirates! Band of Misfits,0,PG,English,"UK, USA","Gideon Defoe (book), Gideon Defoe (screenplay)",6.7,"Peter Lord, Jeff Newitt","Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant","Animation, Adventure, Comedy",movie,NA,88,1,UK,English,Animation,Peter Lord,Gideon Defoe (book)
2012,Magic Mike,1,R,English,USA,Reid Carolin,6.1,Steven Soderbergh,"Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer","Comedy, Drama",movie,NA,110,1,USA,English,Comedy,Steven Soderbergh,Reid Carolin
2012,The Skinny,1,NA,English,USA,Patrik-Ian Polk,6.3,Patrik-Ian Polk,"Jussie Smollett, Anthony Burrell, Blake Young-Fountain, Shanika Warren-Markland","Comedy, Drama, Romance",movie,176,103,0,USA,English,Comedy,Patrik-Ian Polk,Patrik-Ian Polk
2012,Fast Girls,1,NA,English,UK,"Noel Clarke (screenplay), Jay Basu (screenplay), Roy Williams (screenplay), Jon Croker (additional material by)",6.2,Regan Hall,"Lenora Crichlow, Philip Davis, Jamie Howard, Jahvel Hall","Drama, Sport",movie,NA,91,0,UK,English,Drama,Regan Hall,Noel Clarke (screenplay)
2012,Battleship,0,PG-13,English,USA,"Jon Hoeber, Erich Hoeber",5.9,Peter Berg,"Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker","Action, Adventure, Sci-Fi",movie,NA,131,1,USA,English,Action,Peter Berg,Jon Hoeber
2012,The Avengers,0,PG-13,"English, Russian",USA,"Joss Whedon (screenplay), Zak Penn (story), Joss Whedon (story)",8.2,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Action, Fantasy",movie,NA,143,1,USA,English,Action,Joss Whedon,Joss Whedon (screenplay)
2012,The Five-Year Engagement,1,R,English,USA,"Jason Segel, Nicholas Stoller",6.2,Nicholas Stoller,"Jason Segel, Emily Blunt, Chris Pratt, Alison Brie","Comedy, Romance",movie,NA,124,0,USA,English,Comedy,Nicholas Stoller,Jason Segel
2012,What to Expect When You’re Expecting,1,PG-13,English,USA,"Shauna Cross (screenplay), Heather Hach (screenplay), Heidi Murkoff (books)",5.7,Kirk Jones,"Cameron Diaz, Jennifer Lopez, Elizabeth Banks, Chace Crawford","Comedy, Drama, Romance",movie,NA,110,0,USA,English,Comedy,Kirk Jones,Shauna Cross (screenplay)
2012,Madagascar 3: Europe’s Most Wanted,0,PG,English,USA,"Eric Darnell (screenplay), Noah Baumbach (screenplay)",7,"Eric Darnell, Tom McGrath, Conrad Vernon","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith","Animation, Adventure, Comedy",movie,NA,93,1,USA,English,Animation,Eric Darnell,Eric Darnell (screenplay)
2012,Parental Guidance,1,PG,English,USA,"Lisa Addario, Joe Syracuse",6.1,Andy Fickman,"Billy Crystal, Bette Midler, Marisa Tomei, Tom Everett Scott",Comedy,movie,NA,105,1,USA,English,Comedy,Andy Fickman,Lisa Addario
2012,Dark Shadows,1,PG-13,English,"USA, Australia","Seth Grahame-Smith (screenplay), John August (story), Seth Grahame-Smith (story), Dan Curtis (television series)",6.3,Tim Burton,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green","Comedy, Horror",movie,NA,113,1,USA,English,Comedy,Tim Burton,Seth Grahame-Smith (screenplay)
2012,The Raven,0,R,English,"USA, Hungary, Spain","Hannah Shakespeare, Ben Livingston",6.4,James McTeigue,"John Cusack, Luke Evans, Alice Eve, Brendan Gleeson","Crime, Mystery, Thriller",movie,NA,110,0,USA,English,Crime,James McTeigue,Hannah Shakespeare
2012,That’s My Boy,0,R,English,USA,David Caspe,5.6,Sean Anders,"Adam Sandler, Andy Samberg, Leighton Meester, Vanilla Ice",Comedy,movie,NA,116,1,USA,English,Comedy,Sean Anders,David Caspe
2012,Men in Black III,0,PG-13,English,"USA, United Arab Emirates","Etan Cohen, Lowell Cunningham (based on the Malibu comic by)",6.9,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement","Action, Comedy, Sci-Fi",movie,NA,106,1,USA,English,Action,Barry Sonnenfeld,Etan Cohen
2012,Chernobyl Diaries,0,R,English,USA,"Oren Peli (screenplay), Carey Van Dyke (screenplay), Shane Van Dyke (screenplay), Oren Peli (story)",5,Bradley Parker,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley","Horror, Thriller",movie,NA,86,0,USA,English,Horror,Bradley Parker,Oren Peli (screenplay)
2012,The Dictator,0,R,"English, Hebrew",USA,"Sacha Baron Cohen, Alec Berg, David Mandel, Jeff Schaffer",6.4,Larry Charles,"Sacha Baron Cohen, Sayed Badreya, Rocky Citron, Liam Campora",Comedy,movie,NA,83,1,USA,English,Comedy,Larry Charles,Sacha Baron Cohen
2012,Man on a Ledge,0,PG-13,"English, Spanish",USA,Pablo F. Fenjves,6.6,Asger Leth,"Sam Worthington, Mandy Gonzalez, William Sadler, Barbara Marineau","Action, Crime, Thriller",movie,NA,102,0,USA,English,Action,Asger Leth,Pablo F. Fenjves
2012,Snow White and the Huntsman,1,PG-13,English,USA,"Evan Daugherty (screenplay), John Lee Hancock (screenplay), Hossein Amini (screenplay), Evan Daugherty (screen story)",6.2,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","Adventure, Drama, Fantasy",movie,NA,127,1,USA,English,Adventure,Rupert Sanders,Evan Daugherty (screenplay)
2012,Prometheus,1,R,"English, Scottish Gaelic","USA, UK","Jon Spaihts, Damon Lindelof, Dan O'Bannon (elements), Ronald Shusett (elements)",7.1,Ridley Scott,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba","Adventure, Mystery, Sci-Fi",movie,NA,124,1,USA,English,Adventure,Ridley Scott,Jon Spaihts
2012,Barbara,1,PG-13,German,Germany,"Christian Petzold (screenplay), Harun Farocki (collaborator on screenplay)",7.2,Christian Petzold,"Nina Hoss, Ronald Zehrfeld, Rainer Bock, Christina Hecke",Drama,movie,NA,105,1,Germany,German,Drama,Christian Petzold,Christian Petzold (screenplay)
2012,Moonrise Kingdom,1,PG-13,English,USA,"Wes Anderson, Roman Coppola",7.8,Wes Anderson,"Bruce Willis, Edward Norton, Bill Murray, Frances McDormand","Comedy, Drama, Romance",movie,NA,94,1,USA,English,Comedy,Wes Anderson,Wes Anderson
2012,Safety Not Guaranteed,1,R,English,USA,Derek Connolly,7.1,Colin Trevorrow,"Aubrey Plaza, Lauren Carlos, Basil Harris, Mary Lynn Rajskub","Comedy, Drama, Romance",movie,NA,86,1,USA,English,Comedy,Colin Trevorrow,Derek Connolly
2012,Rock of Ages,1,PG-13,English,USA,"Justin Theroux (screenplay), Chris D'Arienzo (screenplay), Allan Loeb (screenplay), Chris D'Arienzo (musical book)",5.9,Adam Shankman,"Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta","Comedy, Drama, Musical",movie,NA,123,1,USA,English,Comedy,Adam Shankman,Justin Theroux (screenplay)
2012,Goodbye,1,NA,Persian,Iran,Mohammad Rasoulof (screenplay),7.3,Mohammad Rasoulof,"Leyla Zareh, Fereshteh Sadre Orafaiy, Shahab Hosseini, Roya Taymourian",Drama,movie,337,100,1,Iran,Persian,Drama,Mohammad Rasoulof,Mohammad Rasoulof (screenplay)
2012,21 Jump Street,0,R,English,USA,"Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)",7.2,"Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco","Action, Comedy, Crime",movie,NA,109,1,USA,English,Action,Phil Lord,Michael Bacall (screenplay)
2012,Brave,1,PG,English,USA,"Brenda Chapman (story), Mark Andrews (screenplay), Steve Purcell (screenplay), Brenda Chapman (screenplay), Irene Mecchi (screenplay), Michael Arndt (additional screenplay material)",7.2,"Mark Andrews, Brenda Chapman, Steve Purcell","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters","Animation, Action, Adventure",movie,NA,93,1,USA,English,Animation,Mark Andrews,Brenda Chapman (story)
2012,Savages,1,R,English,USA,"Shane Salerno (screenplay), Don Winslow (screenplay), Oliver Stone (screenplay), Don Winslow (novel)",6.6,Oliver Stone,"Blake Lively, Taylor Kitsch, Aaron Taylor-Johnson, Jana Banker","Crime, Drama, Thriller",movie,NA,131,0,USA,English,Crime,Oliver Stone,Shane Salerno (screenplay)
